Entity,Code,Year,Traditional biomass,Coal,Oil,Gas,Biofuels,Solar,Wind,Hydropower,Nuclear,Other renewables
World,OWID_WRL,1800,5556,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1810,11389,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1820,17500,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1830,23889,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1840,30833,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1850,38055,1567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1860,44999,2628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1870,51943,4270.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1880,58887,6812.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1890,65554,10668.0,128.0,33.0,0.0,0.0,0.0,38.88889,0.0,0.0
World,OWID_WRL,1900,71665,16396.0,309.0,97.0,0.0,0.0,0.0,86.11111,0.0,0.0
World,OWID_WRL,1910,78054,25052.0,706.0,239.0,0.0,0.0,0.0,177.777774,0.0,0.0
World,OWID_WRL,1920,84998,34885.0,1595.0,472.0,0.0,0.0,0.0,355.555544,0.0,0.0
World,OWID_WRL,1930,92220,45010.0,3351.0,1075.0,0.0,0.0,0.0,719.444444,0.0,0.0
World,OWID_WRL,1940,99442,56596.0,6004.0,1950.0,0.0,0.0,0.0,1252.777744,0.0,0.0
World,OWID_WRL,1950,106942,69199.0,11448.0,4042.0,0.0,0.0,0.0,2177.777744,0.0,0.0
World,OWID_WRL,1960,115831,84641.0,22545.0,8514.0,0.0,0.0,0.0,4091.666644,0.0,0.0
World,OWID_WRL,1965,124993,100781.178,40541.53,14817.8267,9.029861,0.0,0.0,6821.5531439999995,72.469345,55.949085
World,OWID_WRL,1966,134211,117105.272,59894.186,21686.6495,18.239705,0.0,0.0,9730.689144,170.174315,117.686691
World,OWID_WRL,1967,143485,133166.082,80638.496,29060.7165,27.623421,0.0,0.0,12704.658344,286.529485,180.040071
World,OWID_WRL,1968,152816,149467.228,103137.616,37105.075899999996,37.177221,0.0,0.0,15836.963543999998,434.40137500000003,249.071981
World,OWID_WRL,1969,162203,166265.962,127501.182,45938.52189999999,46.901202000000005,0.0,0.0,19153.944044,609.712715,321.630697
World,OWID_WRL,1970,171647,183324.569,154021.559,55553.340899999996,60.402696000000006,0.0,0.0,22627.370544,833.520725,401.96864700000003
World,OWID_WRL,1971,181146,200290.346,182042.66400000002,65846.54089999999,73.964842,0.0,0.0,26256.312544,1144.807955,489.30771300000004
World,OWID_WRL,1972,190699,217448.98299999998,212182.374,76708.2649,88.787952,0.0,0.0,30054.946544,1576.607215,582.709733
World,OWID_WRL,1973,200307,235116.83299999998,244742.96800000002,88086.1029,103.038509,0.0,0.0,33907.941544,2155.180915,682.956043
World,OWID_WRL,1974,209970,252798.88299999997,276863.771,99745.9669,117.373225,0.0,0.0,38140.078244000004,2911.662665,789.8290030000001
World,OWID_WRL,1975,219688,270823.42,308610.695,111405.7079,131.061617,0.0,0.0,42424.41074400001,3961.112365,897.976203
World,OWID_WRL,1976,229462,289511.90599999996,342393.01900000003,123759.8519,144.81280600000002,0.0,0.0,46691.750144000005,5188.823865,1018.547263
World,OWID_WRL,1977,239292,308753.20599999995,377353.331,136519.6949,163.13134100000002,0.0,0.0,51102.609144,6716.961365,1145.813887
World,OWID_WRL,1978,249178,328211.1099999999,413903.351,149813.6469,186.31011500000002,0.0,0.008870971,55876.320144000005,8492.662265,1280.840707
World,OWID_WRL,1979,259121,348574.64699999994,451017.60900000005,163931.6789,214.33332900000002,0.0,0.026612914,60888.967144,10339.486865,1425.356227
