Entity,Code,Year,Traditional biomass,Coal,Oil,Gas,Biofuels,Solar,Wind,Hydropower,Nuclear,Other renewables
World,OWID_WRL,1800,5556,97,0,0,0,0,0,0,0,0
World,OWID_WRL,1810,5833,128,0,0,0,0,0,0,0,0
World,OWID_WRL,1820,6111,153,0,0,0,0,0,0,0,0
World,OWID_WRL,1830,6389,264,0,0,0,0,0,0,0,0
World,OWID_WRL,1840,6944,356,0,0,0,0,0,0,0,0
World,OWID_WRL,1850,7222,569,0,0,0,0,0,0,0,0
World,OWID_WRL,1860,6944,1061,0,0,0,0,0,0,0,0
World,OWID_WRL,1870,6944,1642,6,0,0,0,0,0,0,0
World,OWID_WRL,1880,6944,2542,33,0,0,0,0,0,0,0
World,OWID_WRL,1890,6667,3856,89,33,0,0,0,38.88889,0,0
World,OWID_WRL,1900,6111,5728,181,64,0,0,0,47.22222,0,0
World,OWID_WRL,1910,6389,8656,397,142,0,0,0,91.666664,0,0
World,OWID_WRL,1920,6944,9833,889,233,0,0,0,177.77777,0,0
World,OWID_WRL,1930,7222,10125,1756,603,0,0,0,363.8889,0,0
World,OWID_WRL,1940,7222,11586,2653,875,0,0,0,533.3333,0,0
World,OWID_WRL,1950,7500,12603,5444,2092,0,0,0,925,0,0
World,OWID_WRL,1960,8889,15442,11097,4472,0,0,0,1913.8889,0,0
World,OWID_WRL,1965,9162,16140.178,17996.53,6303.8267,9.029861,0,0,2729.8865,72.469345,55.949085
World,OWID_WRL,1966,9218,16324.094,19352.656,6868.8228,9.209844,0,0,2909.136,97.70497,61.737606
World,OWID_WRL,1967,9274,16060.81,20744.31,7374.067,9.383716,0,0,2973.9692,116.35517,62.35338
World,OWID_WRL,1968,9331,16301.146,22499.12,8044.3594,9.5538,0,0,3132.3052,147.87189,69.03191
World,OWID_WRL,1969,9387,16798.734,24363.566,8833.446,9.723981,0,0,3316.9805,175.31134,72.558716
World,OWID_WRL,1970,9444,17058.607,26520.377,9614.819,13.501494,0,0,3473.4265,223.80801,80.33795
World,OWID_WRL,1971,9499,16965.777,28021.105,10293.2,13.562146,0,0,3628.942,311.28723,87.339066
World,OWID_WRL,1972,9553,17158.637,30139.71,10861.724,14.82311,0,0,3798.634,431.79926,93.40202
World,OWID_WRL,1973,9608,17667.85,32560.594,11377.838,14.250557,0,0,3852.995,578.5737,100.24631
World,OWID_WRL,1974,9663,17682.05,32120.803,11659.864,14.334716,0,0,4232.1367,756.48175,106.87296
World,OWID_WRL,1975,9718,18024.537,31746.924,11659.741,13.688392,0,0,4284.3325,1049.4497,108.1472
World,OWID_WRL,1976,9774,18688.486,33782.324,12354.144,13.751189,0,0,4267.3394,1227.7115,120.57106
World,OWID_WRL,1977,9830,19241.3,34960.312,12759.843,18.318535,0,0,4410.859,1528.1375,127.266624
World,OWID_WRL,1978,9886,19457.904,36550.02,13293.952,23.178774,0,0.008870971,4773.711,1775.7009,135.02682
World,OWID_WRL,1979,9943,20363.537,37114.258,14118.032,28.023214,0,0.017741943,5012.647,1846.8246,144.51552
World,OWID_WRL,1980,10000,20857.61,35525.133,14236.961,32.78612,0,0.031048333,5120.4688,2020.0956,153.78857
World,OWID_WRL,1981,10106,21149.68,34268.04,14395.873,29.747923,0,0.031048333,5230.6284,2385.6428,164.9076
World,OWID_WRL,1982,10213,21385.451,33208.07,14469.734,37.556244,0,0.054704163,5325.2656,2588.3174,191.2329
World,OWID_WRL,1983,10321,22046.346,32956.613,14703.833,49.01924,0.008870971,0.09697445,5552.5425,2933.459,211.77058
World,OWID_WRL,1984,10430,23001.078,33680.13,15902.68,57.806423,0.018661888,0.13234167,5740.62,3559.8567,236.32065
World,OWID_WRL,1985,10541,23987.826,33667.098,16262.222,68.41009,0.03473722,0.18989833,5852.605,4224.8374,243.15495
World,OWID_WRL,1986,10653,24258.035,34712.902,16421.11,84.20299,0.04489833,0.4105228,5931.9126,4525.0864,263.68542
World,OWID_WRL,1987,10765,25212.426,35404.36,17281.895,85.33012,0.031353053,0.57772696,6012.1157,4922.331,282.4433
World,OWID_WRL,1988,10879,25967.129,36551.46,18088.848,89.560196,0.030149443,0.980478,6204.8037,5366.448,290.86093
