Entity,Code,Year,Hydropower,Nuclear,Biofuels,Wind,Solar,Other renewables
World,OWID_WRL,1800,0,0,0,0,0,0
World,OWID_WRL,1810,0,0,0,0,0,0
World,OWID_WRL,1820,0,0,0,0,0,0
World,OWID_WRL,1830,0,0,0,0,0,0
World,OWID_WRL,1840,0,0,0,0,0,0
World,OWID_WRL,1850,0,0,0,0,0,0
World,OWID_WRL,1860,0,0,0,0,0,0
World,OWID_WRL,1870,0,0,0,0,0,0
World,OWID_WRL,1880,0,0,0,0,0,0
World,OWID_WRL,1890,38.88889,0,0,0,0,0
World,OWID_WRL,1900,47.22222,0,0,0,0,0
World,OWID_WRL,1910,91.666664,0,0,0,0,0
World,OWID_WRL,1920,177.77777,0,0,0,0,0
World,OWID_WRL,1930,363.8889,0,0,0,0,0
World,OWID_WRL,1940,533.3333,0,0,0,0,0
World,OWID_WRL,1950,925,0,0,0,0,0
World,OWID_WRL,1960,1913.8889,0,0,0,0,0
World,OWID_WRL,1965,2729.8865,72.469345,9.029861,0,0,55.949085
World,OWID_WRL,1966,2909.136,97.70497,9.209844,0,0,61.737606
World,OWID_WRL,1967,2973.9692,116.35517,9.383716,0,0,62.35338
World,OWID_WRL,1968,3132.3052,147.87189,9.5538,0,0,69.03191
World,OWID_WRL,1969,3316.9805,175.31134,9.723981,0,0,72.558716
World,OWID_WRL,1970,3473.4265,223.80801,13.501494,0,0,80.33795
World,OWID_WRL,1971,3628.942,311.28723,13.562146,0,0,87.339066
World,OWID_WRL,1972,3798.634,431.79926,14.82311,0,0,93.40202
World,OWID_WRL,1973,3852.995,578.5737,14.250557,0,0,100.24631
World,OWID_WRL,1974,4232.1367,756.48175,14.334716,0,0,106.87296
World,OWID_WRL,1975,4284.3325,1049.4497,13.688392,0,0,108.1472
World,OWID_WRL,1976,4267.3394,1227.7115,13.751189,0,0,120.57106
World,OWID_WRL,1977,4410.859,1528.1375,18.318535,0,0,127.266624
World,OWID_WRL,1978,4773.711,1775.7009,23.178774,0.008870971,0,135.02682
World,OWID_WRL,1979,5012.647,1846.8246,28.023214,0.017741943,0,144.51552
World,OWID_WRL,1980,5120.4688,2020.0956,32.78612,0.031048333,0,153.78857
World,OWID_WRL,1981,5230.6284,2385.6428,29.747923,0.031048333,0,164.9076
World,OWID_WRL,1982,5325.2656,2588.3174,37.556244,0.054704163,0,191.2329
World,OWID_WRL,1983,5552.5425,2933.459,49.01924,0.09697445,0.008870971,211.77058
World,OWID_WRL,1984,5740.62,3559.8567,57.806423,0.13234167,0.018661888,236.32065
World,OWID_WRL,1985,5852.605,4224.8374,68.41009,0.18989833,0.03473722,243.15495
World,OWID_WRL,1986,5931.9126,4525.0864,84.20299,0.4105228,0.04489833,263.68542
World,OWID_WRL,1987,6012.1157,4922.331,85.33012,0.57772696,0.031353053,282.4433
World,OWID_WRL,1988,6204.8037,5366.448,89.560196,0.980478,0.030149443,290.86093
World,OWID_WRL,1989,6172.975,5518.996,95.68924,7.835361,0.77539134,322.35043
World,OWID_WRL,1990,6383.708,5676.7207,106.64288,10.741176,1.1483465,361.19138
World,OWID_WRL,1991,6531.108,5948.311,110.728714,12.082573,1.4942344,376.81265
World,OWID_WRL,1992,6530.39,5993.4634,108.79633,13.994874,1.379965,404.78116
World,OWID_WRL,1993,6923.671,6199.8696,114.44431,16.867165,1.6460894,418.23853
World,OWID_WRL,1994,6967.2666,6316.248,124.175285,21.088448,1.7652723,434.65265
World,OWID_WRL,1995,7344.2354,6590.213,131.20163,24.46058,1.8891695,454.25476
World,OWID_WRL,1996,7442.8306,6828.8057,125.91322,27.250431,2.0676155,466.32935
World,OWID_WRL,1997,7573.9106,6781.843,130.18306,35.567307,2.2167242,499.9418
World,OWID_WRL,1998,7632.345,6898.552,133.53989,47.10265,2.4006376,520.55
World,OWID_WRL,1999,7690.094,7161.0522,135.43088,62.767708,2.6769266,546.14624
World,OWID_WRL,2000,7826.347,7322.6826,132.91783,92.87796,3.1327264,571.651
World,OWID_WRL,2001,7575.7827,7480.557,131.35425,112.75258,4.1827884,593.69916
World,OWID_WRL,2002,7665.752,7551.0767,159.00194,152.89404,5.252374,639.19446
World,OWID_WRL,2003,7607.18,7350.6562,178.32689,183.53348,6.541638,674.7783
World,OWID_WRL,2004,8116.5034,7635.7695,210.21715,246.72266,8.563793,729.37866
World,OWID_WRL,2005,8336.344,7607.3535,246.52557,299.59247,11.99108,789.99854
World,OWID_WRL,2006,8599.518,7653.7217,306.51932,379.86954,16.39757,841.28894
World,OWID_WRL,2007,8687.896,7450.836,397.3358,484.96048,22.108496,913.1756
World,OWID_WRL,2008,9137.472,7381.6016,538.46704,622.1905,35.682663,976.6638
World,OWID_WRL,2009,9066.387,7232.23,610.6535,773.0175,58.852226,1049.1632
World,OWID_WRL,2010,9520.602,7373.091,699.7631,961.486,94.12616,1173.9039
World,OWID_WRL,2011,9635.082,7021.4863,735.38153,1215.6783,181.10184,1232.3865
World,OWID_WRL,2012,9985.715,6500.3687,762.47174,1454.6062,278.36545,1334.975
World,OWID_WRL,2013,10324.202,6512.8066,828.65063,1732.0238,377.72363,1442.059
World,OWID_WRL,2014,10535.74,6606.008,878.8694,1912.321,534.40076,1560.9077
World,OWID_WRL,2015,10447.261,6655.106,912.97784,2238.8726,689.34564,1688.6459
World,OWID_WRL,2016,10746.731,6714.155,953.7291,2575.6694,879.17914,1714.8402
World,OWID_WRL,2017,10834.706,6734.279,974.0694,3037.927,1185.5515,1826.1881
World,OWID_WRL,2018,11084.954,6855.408,1049.8936,3358.8267,1523.3044,1973.996
World,OWID_WRL,2019,11185.189,7071.7817,1124.6016,3744.7256,1858.954,2072.3691
World,OWID_WRL,2020,11448.027,6776.866,1073.7583,4186.181,2243.835,2182.6973
World,OWID_WRL,2021,11222.36,7037.069,1142.8717,4851.594,2771.829,2335.3115
World,OWID_WRL,2022,11299.816,6702.3394,1199.2067,5487.6,3448.2373,2413.8076
