#,Country (or dependency),"Population
(2023)","Yearly
Change","Net
Change","Density
(P/Km²)","Land Area
(Km²)","Migrants
(net)","Fert.
Rate","Med.
Age","Urban
Pop %","World
Share"
1,India,"1,428,627,663",0.81 %,11454490,481,2973190,-486136,2,28,36 %,17.76 %
2,China,"1,425,671,352",-0.02 %,-215985,152,9388211,-310220,1.2,39,65 %,17.72 %
3,United States,"339,996,563",0.50 %,1706706,37,9147420,999700,1.7,38,83 %,4.23 %
4,Indonesia,"277,534,122",0.74 %,2032783,153,1811570,-49997,2.1,30,59 %,3.45 %
5,Pakistan,"240,485,658",1.98 %,4660796,312,770880,-165988,3.3,21,35 %,2.99 %
6,Nigeria,"223,804,632",2.41 %,5263420,246,910770,-59996,5.1,17,54 %,2.78 %
7,Brazil,"216,422,446",0.52 %,1108948,26,8358140,6000,1.6,34,88 %,2.69 %
8,Bangladesh,"172,954,319",1.03 %,1767947,"1,329",130170,-309977,1.9,27,41 %,2.15 %
9,Russia,"144,444,359",-0.19 %,-268955,9,16376870,-136414,1.5,39,75 %,1.80 %
10,Mexico,"128,455,567",0.75 %,951442,66,1943950,-50239,1.8,30,88 %,1.60 %
11,Ethiopia,"126,527,060",2.55 %,3147136,127,1000000,-11999,4,19,22 %,1.57 %
12,Japan,"123,294,513",-0.53 %,-657179,338,364555,99994,1.3,49,94 %,1.53 %
13,Philippines,"117,337,368",1.54 %,1778359,394,298170,-69996,2.7,25,47 %,1.46 %
14,Egypt,"112,716,598",1.56 %,1726495,113,995450,-29998,2.8,24,41 %,1.40 %
15,DR Congo,"102,262,808",3.29 %,3252596,45,2267050,-14999,6.1,16,46 %,1.27 %
16,Vietnam,"98,858,950",0.68 %,672094,319,310070,-82700,1.9,33,40 %,1.23 %
17,Iran,"89,172,767",0.70 %,622197,55,1628550,-39998,1.7,33,74 %,1.11 %
18,Turkey,"85,816,199",0.56 %,474958,112,769630,-318067,1.9,32,77 %,1.07 %
19,Germany,"83,294,633",-0.09 %,-75210,239,348560,155751,1.5,45,77 %,1.04 %
20,Thailand,"71,801,279",0.15 %,104249,141,510890,18999,1.3,40,52 %,0.89 %
21,United Kingdom,"67,736,802",0.34 %,227866,280,241930,165790,1.6,40,85 %,0.84 %
22,Tanzania,"67,438,106",2.96 %,1940358,76,885800,-39997,4.6,17,38 %,0.84 %
23,France,"64,756,584",0.20 %,129956,118,547557,67761,1.8,42,84 %,0.80 %
24,South Africa,"60,414,495",0.87 %,520610,50,1213090,58496,2.3,28,69 %,0.75 %
25,Italy,"58,870,762",-0.28 %,-166712,200,294140,58496,1.3,48,72 %,0.73 %
26,Kenya,"55,100,586",1.99 %,1073099,97,569140,-10000,3.2,20,31 %,0.68 %
27,Myanmar,"54,577,997",0.74 %,398691,84,653290,-34998,2.1,30,33 %,0.68 %
28,Colombia,"52,085,168",0.41 %,211144,47,1109500,-175051,1.7,32,81 %,0.65 %
29,South Korea,"51,784,059",-0.06 %,-31751,533,97230,29998,0.9,44,82 %,0.64 %
30,Uganda,"48,582,334",2.82 %,1332749,243,199810,-126181,4.4,16,29 %,0.60 %
31,Sudan,"48,109,006",2.63 %,1234802,27,1765048,-9999,4.3,19,35 %,0.60 %
32,Spain,"47,519,628",-0.08 %,-39002,95,498800,39998,1.3,45,80 %,0.59 %
33,Argentina,"45,773,884",0.58 %,263566,17,2736690,3718,1.9,32,94 %,0.57 %
34,Algeria,"45,606,480",1.57 %,703255,19,2381740,-9999,2.8,28,75 %,0.57 %
35,Iraq,"45,504,560",2.27 %,1008438,105,434320,-6000,3.4,20,71 %,0.57 %
36,Afghanistan,"42,239,854",2.70 %,1111083,65,652860,-65846,4.4,17,26 %,0.53 %
37,Poland,"41,026,067",2.93 %,1168922,134,306230,-910475,1.5,40,55 %,0.51 %
38,Canada,"38,781,291",0.85 %,326964,4,9093510,249746,1.5,41,81 %,0.48 %
39,Morocco,"37,840,044",1.02 %,382073,85,446300,-39998,2.3,29,66 %,0.47 %
40,Saudi Arabia,"36,947,025",1.48 %,538205,17,2149690,28998,2.4,31,83 %,0.46 %
41,Ukraine,"36,744,634",-7.45 %,-2957105,63,579320,1784718,1.3,45,82 %,0.46 %
42,Angola,"36,684,202",3.08 %,1095215,29,1246700,-1000,5.1,16,68 %,0.46 %
43,Uzbekistan,"35,163,944",1.55 %,536292,83,425400,-19999,2.8,27,49 %,0.44 %
44,Yemen,"34,449,825",2.24 %,753211,65,527970,-29914,3.6,19,37 %,0.43 %
45,Peru,"34,352,719",0.89 %,303131,27,1280000,-61442,2.1,29,79 %,0.43 %
46,Malaysia,"34,308,525",1.09 %,370304,104,328550,48997,1.8,31,78 %,0.43 %
47,Ghana,"34,121,985",1.93 %,646115,150,227540,-9999,3.5,21,57 %,0.42 %
48,Mozambique,"33,897,354",2.81 %,927836,43,786380,-5000,4.5,17,40 %,0.42 %
49,Nepal,"30,896,590",1.14 %,349010,216,143350,-62012,2,24,22 %,0.38 %
50,Madagascar,"30,325,732",2.41 %,714018,52,581795,-1500,3.7,19,40 %,0.38 %
51,Côte d'Ivoire,"28,873,034",2.53 %,712492,91,318000,6000,4.3,18,52 %,0.36 %
52,Venezuela,"28,838,499",1.90 %,536803,33,882050,321106,2.2,28,N.A.,0.36 %
53,Cameroon,"28,647,293",2.63 %,732757,61,472710,-4800,4.3,18,58 %,0.36 %
54,Niger,"27,202,843",3.80 %,994866,21,1266700,1000,6.7,15,17 %,0.34 %
55,Australia,"26,439,111",1.00 %,261698,3,7682300,139991,1.6,38,86 %,0.33 %
56,North Korea,"26,160,821",0.35 %,91405,217,120410,-2000,1.8,36,63 %,0.33 %
57,Taiwan,"23,923,276",0.13 %,29882,676,35410,23999,1.2,42,80 %,0.30 %
58,Mali,"23,293,698",3.10 %,700108,19,1220190,-39998,5.8,15,44 %,0.29 %
59,Burkina Faso,"23,251,485",2.55 %,577723,85,273600,-24998,4.6,17,32 %,0.29 %
60,Syria,"23,227,014",4.98 %,1101765,126,183630,757103,2.7,22,53 %,0.29 %
61,Sri Lanka,"21,893,579",0.28 %,61436,349,62710,-77495,2,33,19 %,0.27 %
62,Malawi,"20,931,751",2.58 %,526434,222,94280,-6000,3.8,17,19 %,0.26 %
63,Zambia,"20,569,737",2.76 %,552062,28,743390,-5000,4.2,17,46 %,0.26 %
64,Romania,"19,892,812",1.19 %,233545,86,230170,-254616,1.7,41,53 %,0.25 %
65,Chile,"19,629,590",0.13 %,25857,26,743532,-71205,1.5,36,85 %,0.24 %
66,Kazakhstan,"19,606,633",1.08 %,208635,7,2699700,0,3,30,57 %,0.24 %
67,Chad,"18,278,568",3.13 %,555253,15,1259200,-2000,6.1,15,24 %,0.23 %
68,Ecuador,"18,190,484",1.05 %,189484,73,248360,-21525,2,28,64 %,0.23 %
69,Somalia,"18,143,378",3.10 %,545867,29,627340,-30000,6.1,15,46 %,0.23 %
70,Guatemala,"18,092,026",1.39 %,248118,169,107160,-9110,2.3,23,55 %,0.22 %
71,Senegal,"17,763,163",2.58 %,446714,92,192530,-19999,4.3,18,52 %,0.22 %
72,Netherlands,"17,618,299",0.31 %,54285,522,33720,29998,1.6,42,92 %,0.22 %
73,Cambodia,"16,944,826",1.06 %,176984,96,176520,-29998,2.3,27,26 %,0.21 %
74,Zimbabwe,"16,665,409",2.11 %,344872,43,386850,-9999,3.4,18,37 %,0.21 %
75,Guinea,"14,190,612",2.39 %,331271,58,245720,-4000,4.2,18,40 %,0.18 %
76,Rwanda,"14,094,683",2.31 %,317985,571,24670,-8999,3.7,19,18 %,0.18 %
77,Benin,"13,712,828",2.70 %,359964,122,112760,-200,4.8,18,48 %,0.17 %
78,Burundi,"13,238,559",2.71 %,348983,516,25680,2000,4.9,16,15 %,0.16 %
79,Tunisia,"12,458,223",0.83 %,102106,80,155360,-4000,2,32,69 %,0.15 %
80,Bolivia,"12,388,571",1.35 %,164461,11,1083300,-3000,2.5,24,69 %,0.15 %
81,Haiti,"11,724,763",1.21 %,139767,425,27560,-31811,2.7,23,60 %,0.15 %
82,Belgium,"11,686,140",0.26 %,30210,386,30280,23999,1.6,41,99 %,0.15 %
83,Jordan,"11,337,052",0.45 %,51183,128,88780,-157392,2.7,24,85 %,0.14 %
84,Dominican Republic,"11,332,972",0.93 %,104151,235,48320,-29099,2.2,28,85 %,0.14 %
85,Cuba,"11,194,449",-0.16 %,-17742,105,106440,-6000,1.5,41,80 %,0.14 %
86,South Sudan,"11,088,796",1.61 %,175632,18,610952,-23291,4.3,17,28 %,0.14 %
87,Sweden,"10,612,086",0.59 %,62739,26,410340,39998,1.7,40,86 %,0.13 %
88,Honduras,"10,593,798",1.54 %,160938,95,111890,-5034,2.3,24,58 %,0.13 %
89,Czech Republic (Czechia),"10,495,295",0.01 %,1309,136,77240,22011,1.7,43,75 %,0.13 %
90,Azerbaijan,"10,412,651",0.53 %,54577,126,82658,0,1.7,32,57 %,0.13 %
91,Greece,"10,341,277",-0.42 %,-43694,80,128900,5000,1.4,45,86 %,0.13 %
92,Papua New Guinea,"10,329,931",1.85 %,187312,23,452860,-800,3.1,22,12 %,0.13 %
93,Portugal,"10,247,605",-0.23 %,-23260,112,91590,9999,1.4,46,67 %,0.13 %
94,Hungary,"10,156,239",1.90 %,188931,112,90530,-156677,1.6,42,68 %,0.13 %
95,Tajikistan,"10,143,543",1.92 %,190756,72,139960,-19999,3.1,22,28 %,0.13 %
96,United Arab Emirates,"9,516,871",0.80 %,75742,114,83600,0,1.4,34,94 %,0.12 %
97,Belarus,"9,498,238",-0.39 %,-36716,47,202910,-4282,1.5,41,80 %,0.12 %
98,Israel,"9,174,520",1.51 %,136211,424,21640,9999,2.9,29,92 %,0.11 %
99,Togo,"9,053,799",2.32 %,205100,166,54390,-2000,4.1,19,44 %,0.11 %
100,Austria,"8,958,960",0.22 %,19343,109,82409,19999,1.5,43,59 %,0.11 %
101,Switzerland,"8,796,669",0.64 %,56197,223,39516,39998,1.5,42,75 %,0.11 %
102,Sierra Leone,"8,791,092",2.15 %,185374,122,72180,-4000,3.8,19,43 %,0.11 %
103,Laos,"7,633,779",1.39 %,104304,33,230800,-9999,2.4,24,37 %,0.09 %
104,Hong Kong,"7,491,609",0.04 %,2744,"7,135",1050,19999,0.8,46,N.A.,0.09 %
105,Serbia,"7,149,077",-1.00 %,-72288,82,87460,-9999,1.5,43,69 %,0.09 %
106,Nicaragua,"7,046,310",1.41 %,97918,59,120340,-8000,2.3,25,56 %,0.09 %
107,Libya,"6,888,388",1.12 %,76047,4,1759540,-2000,2.4,27,82 %,0.09 %
108,Paraguay,"6,861,524",1.19 %,80780,17,397300,-12499,2.4,26,67 %,0.09 %
109,Kyrgyzstan,"6,735,347",1.58 %,104724,35,191800,-9999,2.9,24,37 %,0.08 %
110,Bulgaria,"6,687,717",-1.39 %,-94236,62,108560,-4800,1.6,45,78 %,0.08 %
111,Turkmenistan,"6,516,100",1.33 %,85330,14,469930,-4000,2.6,26,52 %,0.08 %
112,El Salvador,"6,364,943",0.45 %,28551,307,20720,-23249,1.8,27,78 %,0.08 %
113,Congo,"6,106,869",2.29 %,136445,18,341500,-1000,4,18,70 %,0.08 %
114,Singapore,"6,014,723",0.65 %,39034,"8,592",700,26998,1,43,N.A.,0.07 %
115,Denmark,"5,910,913",0.49 %,28652,139,42430,19999,1.7,41,88 %,0.07 %
116,Slovakia,"5,795,199",2.69 %,151746,121,48088,-112067,1.6,40,51 %,0.07 %
117,Central African Republic,"5,742,315",2.92 %,163171,9,622980,-14716,5.8,15,40 %,0.07 %
118,Finland,"5,545,475",0.09 %,4730,18,303890,13999,1.4,43,87 %,0.07 %
119,Norway,"5,474,360",0.74 %,40041,15,365268,27998,1.5,40,86 %,0.07 %
120,Liberia,"5,418,377",2.18 %,115696,56,96320,-5000,4,18,54 %,0.07 %
121,State of Palestine,"5,371,230",2.31 %,121158,892,6020,-5000,3.4,20,83 %,0.07 %
122,Lebanon,"5,353,930",-2.47 %,-135809,523,10230,-177331,2.1,29,97 %,0.07 %
123,New Zealand,"5,228,100",0.83 %,42812,20,263310,12999,1.8,37,82 %,0.06 %
124,Costa Rica,"5,212,173",0.60 %,31344,102,51060,3750,1.5,34,82 %,0.06 %
125,Ireland,"5,056,935",0.67 %,33826,73,68890,9999,1.8,38,64 %,0.06 %
126,Mauritania,"4,862,989",2.68 %,126850,5,1030700,3000,4.3,18,61 %,0.06 %
127,Oman,"4,644,384",1.49 %,68086,15,309500,0,2.5,29,N.A.,0.06 %
128,Panama,"4,468,087",1.35 %,59506,60,74340,7262,2.3,29,70 %,0.06 %
129,Kuwait,"4,310,108",0.97 %,41235,242,17820,11999,2.1,40,N.A.,0.05 %
130,Croatia,"4,008,617",-0.54 %,-21741,72,55960,-2000,1.4,44,59 %,0.05 %
131,Eritrea,"3,748,901",1.76 %,64869,37,101000,-15297,3.7,19,67 %,0.05 %
132,Georgia,"3,728,282",-0.43 %,-16103,54,69490,-9999,2.1,37,63 %,0.05 %
133,Mongolia,"3,447,157",1.44 %,48791,2,1553560,-850,2.7,27,67 %,0.04 %
134,Moldova,"3,435,931",4.98 %,162935,105,32850,-125204,1.8,35,50 %,0.04 %
135,Uruguay,"3,423,108",0.01 %,314,20,175020,-1500,1.5,36,99 %,0.04 %
136,Puerto Rico,"3,260,314",0.24 %,7907,368,8870,19835,1.3,44,N.A.,0.04 %
137,Bosnia and Herzegovina,"3,210,847",-0.70 %,-22679,63,51000,-500,1.3,42,54 %,0.04 %
138,Albania,"2,832,439",-0.35 %,-9882,103,27400,-8000,1.4,38,67 %,0.04 %
139,Jamaica,"2,825,544",-0.06 %,-1833,261,10830,-10999,1.3,32,59 %,0.04 %
140,Armenia,"2,777,970",-0.09 %,-2499,98,28470,-5000,1.6,35,67 %,0.03 %
141,Gambia,"2,773,168",2.48 %,67176,274,10120,-3000,4.5,17,58 %,0.03 %
142,Lithuania,"2,718,352",-1.15 %,-31703,43,62674,-13128,1.6,44,71 %,0.03 %
143,Qatar,"2,716,391",0.79 %,21269,234,11610,0,1.8,34,N.A.,0.03 %
144,Botswana,"2,675,352",1.71 %,45056,5,566730,3000,2.7,24,69 %,0.03 %
145,Namibia,"2,604,172",1.45 %,37160,3,823290,-3916,3.2,21,60 %,0.03 %
146,Gabon,"2,436,566",1.99 %,47574,9,257670,1000,3.4,22,85 %,0.03 %
147,Lesotho,"2,330,318",1.06 %,24493,77,30360,-4000,2.9,22,31 %,0.03 %
148,Guinea-Bissau,"2,150,842",2.15 %,45276,76,28120,-1400,3.8,19,45 %,0.03 %
149,Slovenia,"2,119,675",-0.01 %,-169,105,20140,2000,1.6,44,55 %,0.03 %
150,North Macedonia,"2,085,679",-0.38 %,-7920,83,25220,-1000,1.4,39,60 %,0.03 %
151,Latvia,"1,830,211",-1.10 %,-20440,29,62200,-7630,1.6,44,69 %,0.02 %
152,Equatorial Guinea,"1,714,671",2.37 %,39763,61,28050,4000,4.1,21,67 %,0.02 %
153,Trinidad and Tobago,"1,534,937",0.25 %,3893,299,5130,-800,1.6,36,48 %,0.02 %
154,Bahrain,"1,485,509",0.90 %,13276,"1,955",760,0,1.8,34,N.A.,0.02 %
155,Timor-Leste,"1,360,596",1.44 %,19300,91,14870,-5000,3,21,35 %,0.02 %
156,Estonia,"1,322,765",-0.25 %,-3297,31,42390,-1000,1.7,42,68 %,0.02 %
157,Mauritius,"1,300,557",0.08 %,1088,641,2030,0,1.4,37,40 %,0.02 %
158,Cyprus,"1,260,138",0.69 %,8650,136,9240,5000,1.3,39,65 %,0.02 %
159,Eswatini,"1,210,822",0.76 %,9152,70,17200,-5268,2.8,22,31 %,0.02 %
160,Djibouti,"1,136,455",1.39 %,15606,49,23180,900,2.7,24,72 %,0.01 %
161,Réunion,"981,796",0.80 %,7744,393,2500,-630,2.2,34,93 %,0.01 %
162,Fiji,"936,375",0.71 %,6609,51,18270,-3289,2.4,27,59 %,0.01 %
163,Comoros,"852,075",1.83 %,15301,458,1861,-2000,3.8,20,33 %,0.01 %
164,Guyana,"813,834",0.63 %,5108,4,196850,-3900,2.3,26,27 %,0.01 %
