Rank,Country,Cumulative Volume,Description
1,Thailand,795454,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
2,Canada,545000,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
3,Philippines,327951,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
4,Saudi Arabia,135876,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
5,Belgium,134036,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
6,Mexico,125394,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
7,Italy,83127,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
8,Germany,80397,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
9,Guatemala,75795,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
10,Brazil,75024,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
11,Israel,74316,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
12,Australia,73346,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
13,France,69715,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
14,United Arab Emirates,66718,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
15,South Africa,50327,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
16,Switzerland,48264,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
17,Peru,46532,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
18,Costa Rica,44557,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
19,India,42848,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
20,Turkey,42082,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
21,Tunisia,40921,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
22,Ukraine,38944,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
23,El Salvador,38281,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
24,Paraguay,37107,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
25,Poland,37085,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
26,Colombia,32620,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
27,Lebanon,32475,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
28,Jamaica,31854,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
29,Pakistan,29512,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
30,Indonesia,28765,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
31,Afghanistan,22831,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
32,Trinidad and Tobago,22729,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
33,Czech Republic,22337,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
34,Georgia,16582,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
35,New Zealand,16441,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
36,Spain,16018,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
37,Bangladesh,15731,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
38,Argentina,14412,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
39,Oman,13878,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
40,Norway,12930,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
41,Iraq,12171,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
42,Jordan,11706,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
43,Austria,11480,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
44,Chile,11268,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
45,Sweden,11232,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
46,Denmark,11021,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
47,United Kingdom,10923,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
48,Finland,10771,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
49,Bolivia,10353,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
50,Dominican Republic,10347,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
51,Honduras,10212,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
52,Malaysia,9174,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
53,Panama,8020,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
54,Japan,7706,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
55,Taiwan,7691,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
56,Cote d'Ivoire,7508,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
57,Nicaragua,6780,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
58,Kosovo,6382,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
59,Kuwait,5950,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
60,Slovakia,5104,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
61,Bulgaria,3696,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
62,Namibia,3627,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
63,Suriname,3587,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
64,Uruguay,3459,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
65,Belize,3100,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
66,Kenya,3073,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
67,Portugal,2940,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
68,Serbia,2923,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
69,Russia,2867,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
